Name,Category,Content,Created time,Daily Page,Deadline,Notes,PARA,Status,Tasks
Pet(s),Area,,"November 3, 2025 12:01 PM",,,,,Active,
Health,Area,,"November 3, 2025 12:01 PM",,,,,Active,Sign up for 10k (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Sign%20up%20for%2010k%202a0945fa57508123ba3ec01fbeb16500.md)
Home,Area,,"November 3, 2025 12:01 PM",,,,,Active,Water the plants (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Water%20the%20plants%202a0945fa5750812ca5a7f241b2e862b8.md)
Car,Area,,"November 3, 2025 12:01 PM",,,,,Active,Renew car insurance  (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Renew%20car%20insurance%202a0945fa57508163b15dd2b48c238986.md)
Set up Second Brain Notion template,Project,,"November 3, 2025 12:01 PM",,"March 31, 2025",,,Active,Watch walkthrough videos (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Watch%20walkthrough%20videos%202a0945fa5750816d980df2dec003d94a.md)
Finances,Area,,"November 3, 2025 12:01 PM",,,,,Active,
Travel,Area,,"November 3, 2025 12:01 PM",,,,,Active,
Kids,Area,,"November 3, 2025 12:01 PM",,,,,Active,
Plan Trip to Pittsburgh,Project,,"November 3, 2025 12:01 PM",,"November 11, 2025",,,Active,"Book flight to Pittsburgh (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Book%20flight%20to%20Pittsburgh%202a0945fa5750812db7c3d96f42985c19.md), Book diving trip (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Book%20diving%20trip%202a0945fa57508182a5cdc52516b0ac84.md), Find AirBnb in Playa del Carmen (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Find%20AirBnb%20in%20Playa%20del%20Carmen%202a0945fa5750814d970de537f4ea86c5.md)"
Coffee,Resource,,"November 3, 2025 12:01 PM",,,,,Active,Purchase new coffee grinder (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Purchase%20new%20coffee%20grinder%202a0945fa575081319bb9d434120d36fd.md)
The PARA Method,Resource,,"November 3, 2025 12:01 PM",,,,,Active,Track mom’s application for apartment (My%20Second%20Brain%2011%2005%202025/SB_Tasks/Track%20mom%E2%80%99s%20application%20for%20apartment%202a1945fa5750807285e7c69f7350b0bb.md)
Go on a meditation retreat,Project,,"November 3, 2025 12:01 PM",,,,,Not started,
Journaling,Resource,,"November 3, 2025 12:01 PM",,,,,Active,
